Mar 24 17:32:17 raspberrypi seqgen2x: START High Rate Sequencer @ sec=0, msec=474
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler thread @ sec=0, msec=476
Mar 24 17:32:17 raspberrypi seqgen2x: Time-stamp with Image Analysis thread @ sec=0, msec=476
Mar 24 17:32:17 raspberrypi seqgen2x: Difference Image Proc thread @ sec=0, msec=477
Mar 24 17:32:17 raspberrypi seqgen2x: Time-stamp Image Save to File thread @ sec=0, msec=477
Mar 24 17:32:17 raspberrypi seqgen2x: Processed Image Save to File thread @ sec=0, msec=477
Mar 24 17:32:17 raspberrypi seqgen2x: Send Time-stamped Image to Remote thread @ sec=0, msec=478
Mar 24 17:32:17 raspberrypi seqgen2x: Second Tick Debug thread @ sec=0, msec=478
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer thread @ sec=0, msec=478
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 1 @ sec=0, msec=495
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 2 @ sec=0, msec=512
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 1 @ sec=0, msec=512
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 3 @ sec=0, msec=529
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 4 @ sec=0, msec=545
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 2 @ sec=0, msec=545
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 5 @ sec=0, msec=562
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 6 @ sec=0, msec=579
Mar 24 17:32:17 raspberrypi seqgen2x: Send Time-stamped Image to Remote release 1 @ sec=0, msec=579
Mar 24 17:32:17 raspberrypi seqgen2x: Time-stamp with Image Analysis release 1 @ sec=0, msec=579
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 3 @ sec=0, msec=579
Mar 24 17:32:17 raspberrypi seqgen2x: Time-stamp Image Save to File release 1 @ sec=0, msec=579
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 7 @ sec=0, msec=596
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 8 @ sec=0, msec=612
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 4 @ sec=0, msec=613
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 9 @ sec=0, msec=629
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 10 @ sec=0, msec=646
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 5 @ sec=0, msec=646
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 11 @ sec=0, msec=663
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 12 @ sec=0, msec=680
Mar 24 17:32:17 raspberrypi seqgen2x: Time-stamp with Image Analysis release 2 @ sec=0, msec=680
Mar 24 17:32:17 raspberrypi seqgen2x: Processed Image Save to File release 1 @ sec=0, msec=680
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 6 @ sec=0, msec=680
Mar 24 17:32:17 raspberrypi seqgen2x: Difference Image Proc release 1 @ sec=0, msec=680
Mar 24 17:32:17 raspberrypi seqgen2x: Send Time-stamped Image to Remote release 2 @ sec=0, msec=680
Mar 24 17:32:17 raspberrypi seqgen2x: Time-stamp Image Save to File release 2 @ sec=0, msec=680
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 13 @ sec=0, msec=696
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 14 @ sec=0, msec=713
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 7 @ sec=0, msec=713
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 15 @ sec=0, msec=730
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 16 @ sec=0, msec=747
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 8 @ sec=0, msec=747
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 17 @ sec=0, msec=763
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 18 @ sec=0, msec=780
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 9 @ sec=0, msec=780
Mar 24 17:32:17 raspberrypi seqgen2x: Time-stamp with Image Analysis release 3 @ sec=0, msec=780
Mar 24 17:32:17 raspberrypi seqgen2x: Send Time-stamped Image to Remote release 3 @ sec=0, msec=780
Mar 24 17:32:17 raspberrypi seqgen2x: Time-stamp Image Save to File release 3 @ sec=0, msec=780
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 19 @ sec=0, msec=797
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 20 @ sec=0, msec=814
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 10 @ sec=0, msec=814
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 21 @ sec=0, msec=831
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 22 @ sec=0, msec=847
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 11 @ sec=0, msec=847
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 23 @ sec=0, msec=864
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 24 @ sec=0, msec=881
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 12 @ sec=0, msec=881
Mar 24 17:32:17 raspberrypi seqgen2x: Time-stamp with Image Analysis release 4 @ sec=0, msec=881
Mar 24 17:32:17 raspberrypi seqgen2x: Time-stamp Image Save to File release 4 @ sec=0, msec=881
Mar 24 17:32:17 raspberrypi seqgen2x: Send Time-stamped Image to Remote release 4 @ sec=0, msec=881
Mar 24 17:32:17 raspberrypi seqgen2x: Difference Image Proc release 2 @ sec=0, msec=881
Mar 24 17:32:17 raspberrypi seqgen2x: Processed Image Save to File release 2 @ sec=0, msec=881
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 25 @ sec=0, msec=898
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 26 @ sec=0, msec=914
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 13 @ sec=0, msec=915
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 27 @ sec=0, msec=931
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 28 @ sec=0, msec=948
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 14 @ sec=0, msec=948
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 29 @ sec=0, msec=965
Mar 24 17:32:17 raspberrypi seqgen2x: Sequencer cycle 30 @ sec=0, msec=982
Mar 24 17:32:17 raspberrypi seqgen2x: Frame Sampler release 15 @ sec=0, msec=982
Mar 24 17:32:17 raspberrypi seqgen2x: Time-stamp with Image Analysis release 5 @ sec=0, msec=982
Mar 24 17:32:17 raspberrypi seqgen2x: Send Time-stamped Image to Remote release 5 @ sec=0, msec=982
